Lisa Gay Hamilton,
Lisa Gottlieb,
Lisa Jackson,
Lisa Niemi,
Lisa Rideout,
Lisa Rose Apramian,
Lisa Simon,
Lisa Takeba,
Lisbeth Lynghøft,
Liu Jiayin,
Liu Miaomiao,
Liv Ullmann,
Liz Cairns,
Liz Friedlander,
Liz Garbus,
Liz Marshall,
Lizzie Borden,
Lkhagvadulam Purev-Ochir,
Lois Siegel,
Lois Weber,
Lois Wilson,
Lone Scherfig,
Lorene Scafaria,
Loretta Todd,
Lori Petty,
Lorraine Segato,
Lorraine Senna,
Lotte Reiniger,
Lottie Lyell,
Louise Archambault,
Louise Wadley,
Lourdes Portillo,
Loveleen Tandan,
Luce Guilbeault,
Lucia Aniello,
Lucile Hadžihalilovi?,
Lucile McVey,
Lucille Ball,
Lucrecia Martel,
Lucy Thane,
Lucy Walker,
Luise Fleck,
Lula Ali Ismaïl,
Lulu Wang,
Luo Luo,
Lydia Chagoll,
Lydia Dean Pilcher,
Lydia Zimmermann,
Lyndall Hobbs,
Lyne Charlebois,
Lynn Novick,
Lynn Shelton,
Lynne Fernie,
Lynne Littman,
Lynne Naylor,
Lynne Ramsay,
Lynne Sachs,
Lynne Stopkewich,
Lynnie Greene,
Ma Liwen,
Mabel Cheung,
Mabel Normand,
Madeleine Olnek,
Madeleine Sims-Fewer,
Madeline Anderson,
Madeline Brandeis,
Madeline Ivalu,
Madeline Sharafian,
Madhumitha,
Madison Thomas,
Madonna,
Magdalena Zyzak,
Maggie Carey,
Maggie Greenwald,
Maggie Gyllenhaal,
Maha Haj,
Mahboubeh Honarian,
Mai Zetterling,
Mairzee Almas,
Maite Alberdi,
Maïwenn Le Besco,
Maïwenn,
Maja Classen,
Makoto Moriwaki,
Ma?gorzata Szumowska,
Mania Akbari,
Manijeh Hekmat,
Manju Borah,
Manon Barbeau,
Manon Briand,
Manuela Viegas,
Marcie Begleiter,
Maren Ade,
Margaret,
Margaret Lazarus,
Margarethe von Trotta,
Margery Wilson,
Marguerite Abouet,
Marguerite Duras,
Mari Asato,
Maria Basaglia,
Maria Beatty,
Maria Burton,
Maria de Medeiros,
Maria Giese,
María Luisa Bemberg,
Maria Maggenti,
Maria Novaro,
Maria Sole Tognazzi,
Maria Wagner,
Marialy Rivas,
Mariam Ndagire,
Marianne Farley,
Marianne Jean-Baptiste,
Marie Clements,
Marie Davignon,
Marie Dressler,
Marie Epstein,
Marie-Ève Juste,
Marie-Hélène Cousineau,
Marie-Hélène Turcotte,
Marie-Josée Saint-Pierre,
Marie-Julie Dallaire,
Marielle Heller,
Mariko Kawana,
Mariloup Wolfe,
Marina de Van,
Marina Rice Bader,
Marion Hänsel,
Marion Lipschutz,
Marisa Ryan,
Mariska Hargitay,
Marita Grabiak,
Marja-Lewis Ryan,
Marjane Satrapi,
Marjorie Beaucage,
Marleen Gorris,
Marquise Lepage,
Mars Horodyski,
Marsha Mason,
Marta Balletbò-Coll,
